,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,7624,636,20305,847,28565,0
1,8313,596,2794,592,11703,0
2,182,573,335,592,1090,0
3,7800,592,548,593,8940,0
4,9257,658,3529,593,13444,0
5,8166,596,12732,591,21494,0
6,9752,605,815,592,11172,0
7,3610,593,6571,592,10774,0
8,520,519,78,591,1117,0
9,3363,601,1341,590,5305,0
10,3137,737,3,591,3877,0
11,27,590,1,591,618,0
12,3236,593,381,589,4210,0
13,1885,608,399,591,2892,0
14,40,526,69,592,635,0
15,158,563,245,591,966,0
16,4064,590,0,591,4654,0
17,4247,590,1,590,4838,0
18,45,353,388,590,786,0
19,3176,582,152,592,3910,0
20,3636,648,1,592,4285,0
21,4430,714,0,591,5144,0
22,331,532,289,592,1152,0
23,5641,590,0,591,6231,0
24,2421,547,44,591,3012,0
25,3157,536,1171,590,4864,0
26,85,467,451,591,1003,0
27,4315,593,23,592,4931,0
28,656,286,792,593,1734,0
29,5200,644,1432,591,7276,0
30,60,545,258,591,863,0
31,2949,589,318,590,3856,0
32,4613,469,124,590,5206,0
33,4726,590,2097,593,7413,0
34,4511,462,583,592,5556,0
35,1850,590,1,591,2441,0
36,3496,590,0,591,4086,0
37,39,424,166,590,629,0
38,1751,598,537,592,2886,0
39,2038,582,10,591,2630,0
40,8926,595,1152,592,10673,0
41,1878,590,2,591,2470,0
42,24,131,668,590,823,0
43,7318,595,606,591,8519,0
44,2214,619,1,592,2834,0
45,1799,601,818,592,3218,0
46,1888,596,0,590,2484,0
47,3693,592,550,593,4835,0
48,5342,497,96,593,5935,0
49,362,654,203,591,1219,0
50,378,556,144,593,1078,0
51,2188,585,322,591,3095,0
52,453,579,1054,592,2086,0
53,364,641,586,590,1591,0
54,7895,595,550,592,9040,0
55,2557,577,16,593,3150,0
56,619,583,248,592,1450,0
57,1164,583,261,591,2008,0
58,2296,524,68,591,2888,0
59,3566,602,817,590,4985,0
60,7157,603,1606,592,9366,0
61,47,521,525,591,1093,0
62,2135,497,100,591,2732,0
63,3202,593,0,590,3795,0
64,38,244,348,591,630,0
65,6464,638,1,592,7103,0
66,4916,590,2,591,5508,0
67,92,324,487,591,903,0
68,21,338,488,591,847,0
69,5779,598,989,593,7366,0
70,1742,582,551,593,2875,0
71,8139,592,48,593,8779,0
72,583,590,722,590,1895,0
73,4457,605,4,590,5066,0
74,6158,595,561,592,7314,0
75,30,595,577,590,1202,0
76,6009,597,0,591,6606,0
77,2980,592,681,593,4253,0
78,3648,593,413,593,4654,0
79,2937,588,7,591,3532,0
80,29,403,360,590,792,0
81,1338,568,282,591,2188,0
82,4787,589,463,590,5839,0
83,880,381,211,591,1472,0
84,2925,581,341,591,3847,0
85,7410,593,1070,592,9073,0
86,1921,591,283,592,2795,0
87,6386,617,1524,592,8527,0
88,3122,590,363,591,4075,0
89,8233,592,2784,590,11609,0
90,1651,583,539,592,2773,0
91,5712,590,598,591,6900,0
92,4435,589,0,590,5024,0
93,1995,517,140,591,2652,0
94,2136,576,20,594,2732,0
95,31,492,107,591,630,0
96,3132,593,0,594,3725,0
97,2895,433,309,591,3637,0
98,6619,591,515,592,7725,0
99,2629,587,417,591,3633,0
100,3105,593,161,592,3859,0
101,2238,644,301,591,3183,0
102,5271,589,1,590,5861,0
103,56,577,14,591,647,0
104,1914,598,202,593,2714,0
105,3143,590,4,591,3737,0
106,4566,550,47,594,5163,0
107,5571,597,1,592,6169,0
108,6538,578,15,591,7131,0
109,4977,599,1405,593,6981,0
110,3250,595,559,592,4404,0
111,8767,592,2,593,9361,0
112,1550,575,344,591,2469,0
113,235,526,68,592,829,0
114,7495,591,538,590,8624,0
115,26,182,731,592,939,0
116,506,590,2,591,1098,0
117,957,392,200,592,1549,0
118,2867,590,213,591,3670,0
119,43,482,115,594,640,0
120,5507,574,1956,591,8037,0
121,37,552,39,590,628,0
122,7588,595,1618,591,9801,0
123,8623,593,1,591,9217,0
124,3730,433,650,591,4813,0
125,2489,553,651,591,3693,0
126,28,589,141,590,758,0
127,3605,591,3,592,4199,0
128,1039,588,6,592,1633,0
129,6240,589,564,591,7393,0
130,9716,591,0,591,10307,0
131,6436,629,0,594,7065,0
132,29,592,3,593,624,0
133,3887,594,1,593,4482,0
134,1808,482,861,591,3151,0
135,2892,517,80,591,3489,0
136,1251,471,190,591,1912,0
137,3825,548,2182,590,6555,0
138,9271,590,1,590,9862,0
139,3192,678,1939,593,5809,0
140,3228,594,1,592,3823,0
141,124,387,1977,592,2488,0
142,6772,591,2,592,7365,0
143,1828,587,1079,593,3494,0
144,6856,591,0,591,7447,0
145,2893,385,529,592,3807,0
146,3187,589,351,591,4127,0
147,7088,593,529,593,8210,0
148,3259,554,40,592,3853,0
149,3123,590,2,591,3715,0
150,4004,591,0,592,4595,0
151,7974,591,1,592,8566,0
152,2577,594,932,591,4103,0
153,43,386,207,590,636,0
154,9078,592,2,593,9672,0
155,9471,591,586,592,10648,0
156,6932,592,1119,591,8643,0
157,3774,487,1374,592,5635,0
158,3400,589,801,590,4790,0
159,5938,593,0,592,6531,0
160,65,585,567,591,1217,0
161,9004,592,1,590,9597,0
162,1160,693,1152,591,3005,0
163,1114,403,701,592,2218,0
164,5176,590,2,591,5768,0
165,25,271,547,592,843,0
166,24,591,301,591,916,0
167,36,378,413,591,827,0
168,23,558,33,590,614,0
169,2716,585,637,591,3938,0
170,7003,589,1051,590,8643,0
171,3134,491,473,593,4098,0
172,1637,552,304,590,2493,0
173,3237,597,1060,591,4894,0
174,1795,736,450,592,2981,0
175,3290,554,433,590,4277,0
176,7239,591,49,591,7879,0
177,39,222,373,592,634,0
178,42,402,353,590,797,0
179,8392,591,1,592,8984,0
180,40,217,558,591,815,0
181,4672,563,1032,591,6267,0
182,3028,592,1025,592,4645,0
183,23,588,1,589,612,0
184,2985,592,2,592,3579,0
185,279,527,270,593,1076,0
186,1432,506,108,592,2046,0
187,26,465,387,591,878,0
188,3130,528,1800,593,5458,0
189,3652,614,1,592,4267,0
190,6320,591,0,591,6911,0
191,3328,579,2005,591,5912,0
192,25,516,211,592,752,0
193,1948,321,275,591,2544,0
194,2087,571,20,591,2678,0
195,2323,559,35,593,2917,0
196,156,558,34,592,748,0
197,2358,531,63,592,2952,0
198,1855,587,73,591,2515,0
199,8836,600,575,592,10011,0
200,1949,514,605,593,3068,0
201,37,367,228,592,632,0
202,3218,592,755,591,4565,0
203,3264,591,500,592,4355,0
204,7641,630,1,590,8272,0
205,44,387,204,591,635,0
206,209,589,1,590,799,0
207,7650,664,605,592,8919,0
208,24,545,53,591,622,0
209,8851,647,0,591,9498,0
210,4376,594,108,592,5078,0
211,1808,600,548,590,2956,0
212,4191,593,0,592,4784,0
213,2649,591,313,591,3553,0
214,2910,460,131,590,3501,0
215,2793,593,620,592,4006,0
216,2898,411,1161,591,4470,0
217,3190,563,783,590,4536,0
218,5109,596,1084,591,6789,0
219,699,528,148,591,1375,0
220,960,555,41,591,1556,0
221,6703,591,57,592,7351,0
222,3210,424,169,592,3803,0
223,3537,592,0,591,4129,0
224,8553,591,0,591,9144,0
225,1038,396,196,590,1630,0
226,5040,591,472,592,6103,0
227,4487,609,448,593,5544,0
228,9126,592,0,591,9718,0
229,4847,599,930,592,6376,0
230,25,556,34,590,615,0
231,8695,594,0,593,9289,0
232,3233,430,1731,591,5394,0
233,30,390,318,590,738,0
234,3044,591,0,590,3635,0
235,8471,591,1,592,9063,0
236,1812,492,761,592,3065,0
237,40,307,286,591,633,0
238,3943,592,428,593,4963,0
239,379,592,2,592,973,0
240,2727,595,1,592,3323,0
241,27,404,436,592,867,0
242,3439,591,1613,590,5643,0
243,115,478,336,593,929,0
244,5855,592,991,591,7438,0
245,327,591,0,592,918,0
246,890,544,297,592,1731,0
247,7717,606,546,591,8869,0
248,5416,494,97,590,6007,0
249,4126,595,870,593,5591,0
250,3129,591,0,592,3720,0
251,1286,470,123,592,1879,0
252,2167,685,864,591,3716,0
253,8058,595,2763,592,11416,0
254,2952,575,392,592,3919,0
255,798,530,305,591,1633,0
